Table: Table A.6: SPDE: 2002-2004

|                       |        ICEWS        |         GED         |        CINEP        | ICEWS - Underreporing | GED - Underreporting |
|:----------------------|:-------------------:|:-------------------:|:-------------------:|:---------------------:|:--------------------:|
|Intercept              |       -3.820        |       -5.566        |       -7.125        |        -5.882         |        -3.897        |
|Intercept              | [ -6.177,   -0.888] | [ -9.154,   -2.564] | [-11.724,   -3.420] |  [-10.662,   -2.154]  | [ -7.183,   -1.152]  |
|Dist. Bogota, km (log) |       -0.018        |        0.161        |        0.417        |         0.392         |        0.197         |
|Dist. Bogota, km (log) | [ -0.453,    0.317] | [ -0.262,    0.640] | [ -0.148,    1.097] |  [ -0.177,    1.102]  | [ -0.218,    0.688]  |
|Population (log)       |        0.278        |        0.339        |        0.355        |         0.227         |        0.137         |
|Population (log)       | [  0.177,    0.382] | [  0.237,    0.445] | [  0.254,    0.458] |  [  0.126,    0.328]  | [  0.036,    0.237]  |
|TRI                    |        0.004        |        0.007        |        0.016        |         0.011         |        0.009         |
|TRI                    | [ -0.002,    0.011] | [  0.001,    0.014] | [  0.010,    0.023] |  [  0.005,    0.018]  | [  0.003,    0.015]  |
|Kappa                  |        1.189        |        0.886        |        1.293        |         1.186         |        1.707         |
|Kappa                  | [  0.217,    3.822] | [  0.269,    1.924] | [  0.562,    2.394] |  [  0.488,    2.323]  | [  0.513,    4.015]  |
|Sigma                  |        0.284        |        0.489        |        1.395        |         1.094         |        0.579         |
|Sigma                  | [  0.059,    0.692] | [  0.142,    1.101] | [  0.622,    2.544] |  [  0.454,    2.084]  | [  0.200,    1.214]  |
|Range                  |       263.306       |       354.148       |       242.868       |        264.714        |       183.858        |
|Range                  | [ 33.073,  690.542] | [106.760,  765.170] | [102.152,  437.736] |  [101.292,  488.888]  | [ 48.321,  393.481]  |
|LogLik                 |      -369.389       |      -392.993       |      -504.872       |       -477.819        |       -456.209       |
|N                      |        1116         |        1116         |        1116         |         1116          |         1116         |
