Table: Table A.7: SPDE: 2005-2007

|                       |        ICEWS        |         GED         |        CINEP        | ICEWS - Underreporing | GED - Underreporting |
|:----------------------|:-------------------:|:-------------------:|:-------------------:|:---------------------:|:--------------------:|
|Intercept              |       -8.326        |       -9.877        |       -5.214        |        -3.228         |        -3.877        |
|Intercept              | [-11.461,   -5.813] | [-23.986,    5.730] | [-11.642,    0.316] |  [ -8.950,    2.097]  | [ -9.494,    1.561]  |
|Dist. Bogota, km (log) |        0.495        |        0.497        |        0.045        |        -0.082         |        0.017         |
|Dist. Bogota, km (log) | [  0.131,    0.934] | [ -0.232,    1.454] | [ -0.883,    1.032] |  [ -0.978,    0.803]  | [ -0.900,    0.882]  |
|Population (log)       |        0.409        |        0.420        |        0.300        |         0.163         |        0.184         |
|Population (log)       | [  0.295,    0.530] | [  0.279,    0.570] | [  0.162,    0.438] |  [  0.011,    0.310]  | [  0.033,    0.330]  |
|TRI                    |        0.005        |        0.019        |        0.007        |         0.004         |        0.002         |
|TRI                    | [ -0.002,    0.014] | [  0.009,    0.030] | [ -0.002,    0.016] |  [ -0.005,    0.014]  | [ -0.007,    0.011]  |
|Kappa                  |        5.112        |        0.446        |        2.829        |         3.465         |        4.124         |
|Kappa                  | [  0.800,   15.876] | [  0.107,    0.955] | [  1.236,    5.809] |  [  1.122,    9.154]  | [  1.371,   11.183]  |
|Sigma                  |        1.334        |        1.679        |        4.141        |         4.547         |        5.764         |
|Sigma                  | [  0.089,    4.628] | [  0.182,    6.215] | [  1.829,    8.377] |  [  0.766,   16.012]  | [  1.211,   19.988]  |
|Range                  |       61.258        |       703.923       |       110.986       |        90.525         |        76.053        |
|Range                  | [  7.967,  172.096] | [209.010, 1744.483] | [ 40.597,  197.060] |  [ 20.202,  185.206]  | [ 16.474,  153.653]  |
|LogLik                 |      -290.302       |      -192.089       |      -299.203       |       -265.236        |       -273.844       |
|N                      |        1116         |        1116         |        1116         |         1116          |         1116         |
