Table: Table A.8: SPDE: 2008-2009

|                       |        ICEWS        |         GED         |        CINEP        | ICEWS - Underreporing | GED - Underreporting |
|:----------------------|:-------------------:|:-------------------:|:-------------------:|:---------------------:|:--------------------:|
|Intercept              |       -7.026        |       -9.539        |       -7.999        |        -7.866         |        -7.260        |
|Intercept              | [-10.009,   -4.852] | [-19.051,   -2.995] | [-14.084,   -3.107] |  [-13.958,   -3.126]  | [-12.097,   -3.044]  |
|Dist. Bogota, km (log) |        0.334        |        0.496        |        0.316        |         0.429         |        0.272         |
|Dist. Bogota, km (log) | [  0.019,    0.696] | [ -0.471,    1.776] | [ -0.463,    1.209] |  [ -0.322,    1.331]  | [ -0.408,    0.969]  |
|Population (log)       |        0.359        |        0.389        |        0.384        |         0.306         |        0.322         |
|Population (log)       | [  0.236,    0.502] | [  0.220,    0.567] | [  0.237,    0.539] |  [  0.154,    0.461]  | [  0.172,    0.480]  |
|TRI                    |       -0.005        |        0.013        |        0.016        |         0.015         |        0.015         |
|TRI                    | [ -0.013,    0.004] | [  0.002,    0.027] | [  0.005,    0.027] |  [  0.004,    0.026]  | [  0.005,    0.027]  |
|Kappa                  |        5.260        |        0.753        |        2.282        |         2.532         |        4.066         |
|Kappa                  | [  0.340,   27.123] | [  0.222,    1.642] | [  0.883,    5.176] |  [  0.908,    5.840]  | [  1.135,   11.926]  |
|Sigma                  |        1.406        |        1.964        |        2.704        |         2.628         |        3.736         |
|Sigma                  | [  0.011,   23.437] | [  0.621,    4.281] | [  0.885,    6.330] |  [  0.876,    5.928]  | [  0.535,   15.674]  |
|Range                  |       59.129        |       416.541       |       137.521       |        123.964        |        77.105        |
|Range                  | [  2.063,  241.721] | [123.925,  912.523] | [ 41.722,  259.041] |  [ 35.620,  242.569]  | [ 13.525,  168.488]  |
|LogLik                 |      -192.443       |      -150.976       |      -212.514       |       -208.315        |       -184.795       |
|N                      |        1116         |        1116         |        1116         |         1116          |         1116         |
